elapsed_time,trial,position,heading
00:01:00,1,210,180
00:02:00,1,0,90
00:03:00,1,120,210
00:04:00,1,0,90
00:05:00,1,210,270
00:06:00,1,270,0
00:07:00,1,210,150
00:08:00,1,120,30
00:09:00,1,300,210
00:10:00,1,210,120
00:11:00,1,120,30
00:12:00,1,120,0
00:13:00,1,0,240
00:14:00,1,0,270
00:15:00,1,210,90
00:16:00,1,120,0
00:17:00,1,330,30
00:18:00,1,0,90
00:19:00,1,300,210
00:20:00,1,330,150
00:01:00,11,330,330
00:02:00,11,60,300
00:03:00,11,180,90
00:04:00,11,240,150
00:05:00,11,300,210
00:06:00,11,270,180
00:07:00,11,210,120
00:08:00,11,30,300
00:09:00,11,60,330
00:10:00,11,180,90
00:11:00,11,270,180
00:12:00,11,180,90
00:13:00,11,120,30
00:14:00,11,300,210
00:15:00,11,120,30
00:16:00,11,180,90
00:17:00,11,210,120
00:18:00,11,270,180
00:19:00,11,0,270
00:20:00,11,300,210
00:01:00,9,120,30
00:02:00,9,210,120
00:03:00,9,210,120
00:04:00,9,330,240
00:05:00,9,30,300
00:06:00,9,120,30
00:07:00,9,300,210
00:08:00,9,210,120
00:09:00,9,120,30
00:10:00,9,270,150
00:11:00,9,90,0
00:12:00,9,270,180
00:13:00,9,90,0
00:14:00,9,270,180
00:15:00,9,180,90
00:16:00,9,240,150
00:17:00,9,90,0
00:18:00,9,270,180
00:19:00,9,240,120
00:20:00,9,210,120
00:01:00,3,90,0
00:02:00,3,60,330
00:03:00,3,0,270
00:04:00,3,90,0
00:05:00,3,180,90
00:06:00,3,0,60
00:07:00,3,150,240
00:08:00,3,90,180
00:09:00,3,60,150
00:10:00,3,0,90
00:11:00,3,330,60
00:12:00,3,180,270
00:13:00,3,30,120
00:14:00,3,330,270
00:15:00,3,90,180
00:16:00,3,90,180
00:17:00,3,90,180
00:18:00,3,30,150
00:19:00,3,30,150
00:20:00,3,120,210
00:01:00,2,330,60
00:02:00,2,300,210
00:03:00,2,60,330
00:04:00,2,240,150
00:05:00,2,330,240
00:06:00,2,30,300
00:07:00,2,150,60
00:08:00,2,180,90
00:09:00,2,240,330
00:10:00,2,150,240
00:11:00,2,270,0
00:12:00,2,120,210
00:13:00,2,150,30
00:14:00,2,270,0
00:15:00,2,330,60
00:16:00,2,180,330
00:17:00,2,210,300
00:18:00,2,180,270
00:19:00,2,180,300
00:20:00,2,210,120
00:01:00,10,60,150
00:02:00,10,270,0
00:03:00,10,120,30
00:04:00,10,240,330
00:05:00,10,120,30
00:06:00,10,240,330
00:07:00,10,210,300
00:08:00,10,150,120
00:09:00,10,0,90
00:10:00,10,240,330
00:11:00,10,240,330
00:12:00,10,0,60
00:13:00,10,270,0
00:14:00,10,120,210
00:15:00,10,270,0
00:16:00,10,210,150
00:17:00,10,330,60
00:18:00,10,270,0
00:19:00,10,120,210
00:20:00,10,330,60
