trial,elapsed_time,field,entangled
16,0:02:24,T,T
16,0:04:25,F,T
16,0:06:25,T,T
16,0:08:25,F,
16,0:10:26,T,T
16,0:12:24,F,
16,0:14:23,T,
16,0:16:24,F,
16,0:18:25,T,
16,0:20:24,F,T
17,0:22:59,T,
17,0:24:59,F,T
17,0:27:00,T,T
17,0:29:00,F,
17,0:30:59,T,T
17,0:32:58,F,T
17,0:35:00,T,T
17,0:37:00,F,
17,0:39:00,T,
17,0:40:59,F,T
18,0:47:59,F,
18,0:48:09,T,T
18,0:48:15,F,
18,0:48:24,T,T
18,0:48:47,F,
18,0:49:29,T,
18,0:52:14,F,T
18,0:53:10,T,
18,0:55:12,F,
18,0:57:12,T,
18,0:57:26,F,
18,0:57:30,T,
18,0:57:52,F,T
18,0:58:12,T,
18,0:58:37,F,
18,0:59:06,T,T
18,1:00:43,T,
18,1:01:06,F,
18,1:02:10,T,T
18,1:02:40,F,T
18,1:02:55,T,T
18,1:03:02,F,
18,1:03:17,T,
18,1:03:47,F,
18,1:05:04,T,T
18,1:05:17,F,
19,0:06:30,T,T
19,0:10:00,F,
19,0:11:24,T,
19,0:11:38,F,
19,0:12:59,T,
19,0:14:46,F,
19,0:17:12,T,
19,0:17:42,F,
19,0:19:24,T,
19,0:21:31,F,T
19,0:22:39,T,
19,0:23:23,F,
19,0:23:40,T,
19,0:25:15,F,
20,0:27:50,T,T
20,0:28:28,F,
20,0:31:55,T,T
20,0:32:20,F,T
20,0:33:01,T,
20,0:34:42,F,
20,0:35:10,T,
20,0:40:20,F,
20,0:42:06,T,
20,0:43:06,F,
20,0:47:13,T,T
21,0:49:20,T,
21,0:51:39,F,
21,0:52:23,T,T
21,0:54:27,F,
21,0:55:02,T,
21,0:55:52,F,
21,0:56:03,T,T
21,0:56:54,F,T
21,0:58:35,T,T
21,0:58:45,F,
21,0:59:41,T,T
21,1:00:29,F,T
21,1:01:21,T,
21,1:06:39,F,T
21,1:07:00,T,T
21,1:07:28,F,T
21,1:07:34,T,T
21,1:08:02,F,T
22,1:10:32,T,T
22,1:10:58,F,T
22,1:11:47,T,
22,1:12:37,F,
22,1:12:59,T,
22,1:13:39,F,
22,1:14:05,T,
22,1:14:37,F,T
22,1:15:25,T,
22,1:17:17,F,
22,1:18:25,T,T
22,1:19:55,F,
22,1:20:32,T,T
22,1:20:59,F,
22,1:22:43,T,
22,1:22:57,F,
22,1:23:59,T,
22,1:24:17,F,T
22,1:25:11,T,T
22,1:25:16,F,
22,1:25:28,T,
22,1:26:10,F,
22,1:26:36,T,
22,1:27:24,F,
22,1:27:48,T,
22,1:28:22,F,
23,0:03:25,T,T
23,0:07:02,F,
23,0:09:29,T,
23,0:09:47,F,T
23,0:10:06,T,
23,0:12:37,F,
23,0:14:18,T,
23,0:14:49,F,T
23,0:16:15,T,
23,0:16:27,F,
23,0:17:39,T,T
23,0:18:33,F,
23,0:20:20,T,T
24,0:23:28,T,
24,0:25:20,F,T
24,0:26:57,T,
24,0:28:33,F,
24,0:29:28,T,
24,0:31:09,F,
24,0:33:26,T,
24,0:34:19,F,
24,0:35:24,T,
24,0:36:54,F,
24,0:38:19,T,
24,0:39:16,F,
24,0:40:14,T,
