trial,start,stop
16,0:01:17,0:01:24
16,0:02:12,0:02:19
16,0:02:31,0:02:37
16,0:08:10,0:08:49
16,0:08:50,0:08:59
16,0:10:45,0:11:00
16,0:11:40,0:11:55
16,0:11:58,0:12:17
16,0:12:18,0:12:29
16,0:12:38,0:12:43
16,0:12:47,0:12:58
16,0:13:00,0:13:08
16,0:13:14,0:13:39
16,0:13:47,0:14:04
16,0:14:10,0:14:28
16,0:14:33,0:14:46
16,0:14:50,0:14:55
16,0:15:22,0:17:32
16,0:17:43,0:18:00
16,0:18:08,0:18:12
16,0:18:16,0:18:27
16,0:18:32,0:18:45
16,0:18:49,0:18:55
16,0:18:58,0:19:07
16,0:19:17,0:19:26
16,0:19:34,0:20:07
16,0:20:10,0:20:19
17,0:22:05,0:22:16
17,0:22:20,0:22:41
17,0:22:57,0:23:10
17,0:23:13,0:23:26
17,0:23:34,0:23:44
17,0:23:59,0:24:13
17,0:24:22,0:24:33
17,0:24:38,0:24:42
17,0:25:23,0:25:38
17,0:27:05,0:27:24
17,0:27:41,0:27:46
17,0:28:04,0:28:12
17,0:28:22,0:28:32
17,0:28:39,0:29:02
17,0:29:09,0:29:22
17,0:29:30,0:29:36
17,0:29:43,0:29:47
17,0:30:11,0:30:18
17,0:30:32,0:30:36
17,0:30:43,0:30:54
17,0:31:05,0:31:16
17,0:31:24,0:31:31
17,0:31:36,0:31:44
17,0:32:15,0:32:25
17,0:32:30,0:32:43
17,0:33:52,0:34:02
17,0:36:44,0:37:04
17,0:37:18,0:37:45
17,0:38:53,0:39:16
17,0:39:51,0:40:30
18,0:47:59,0:48:06
18,0:48:13,0:48:20
18,0:48:38,0:48:50
18,0:48:56,0:49:01
18,0:49:04,0:49:08
18,0:49:20,0:49:38
18,0:51:59,0:52:11
18,0:52:43,0:52:50
18,0:52:59,0:53:04
18,0:53:09,0:53:15
18,0:54:55,0:55:12
18,0:57:07,0:57:16
18,0:57:22,0:57:30
18,0:57:30,0:57:32
18,0:58:10,0:58:25
18,0:58:33,0:58:58
18,0:59:07,0:59:11
18,0:59:15,0:59:20
18,1:00:30,1:00:48
18,1:01:05,1:01:12
18,1:01:48,1:01:53
18,1:02:28,1:02:36
18,1:02:43,1:02:52
18,1:02:59,1:03:05
18,1:03:10,1:03:27
18,1:03:31,1:04:00
18,1:05:14,1:05:35
19,0:06:58,0:07:06
19,0:07:08,0:07:13
19,0:07:22,0:07:36
19,0:07:59,0:08:06
19,0:08:15,0:08:22
19,0:08:53,0:08:58
19,0:09:09,0:09:26
19,0:09:56,0:10:03
19,0:11:08,0:11:53
19,0:12:03,0:12:09
19,0:12:46,0:12:50
19,0:12:57,0:13:02
19,0:13:04,0:13:41
19,0:14:11,0:14:23
19,0:14:44,0:14:57
19,0:16:30,0:16:43
19,0:17:08,0:19:39
19,0:19:49,0:21:25
19,0:21:35,0:21:45
19,0:21:53,0:23:57
19,0:24:10,0:26:02
20,0:28:17,0:28:30
20,0:28:41,0:29:00
20,0:29:17,0:29:27
20,0:29:31,0:30:33
20,0:30:46,0:31:39
20,0:31:44,0:31:51
20,0:31:56,0:32:20
20,0:32:27,0:32:36
20,0:32:40,0:32:52
20,0:32:58,0:33:30
20,0:34:38,0:36:50
20,0:38:15,0:46:35
20,0:46:44,0:46:51
20,0:46:54,0:47:05
21,0:49:05,0:49:24
21,0:49:26,0:49:35
21,0:49:36,0:49:55
21,0:50:00,0:50:06
21,0:50:20,0:50:23
21,0:50:28,0:50:31
21,0:50:42,0:51:10
21,0:51:32,0:51:48
21,0:51:55,0:52:00
21,0:54:20,0:54:32
21,0:54:58,0:55:05
21,0:55:07,0:55:10
21,0:55:45,0:55:54
21,0:55:57,0:56:02
21,0:56:45,0:56:52
21,0:57:11,0:57:16
21,0:58:42,0:58:48
21,0:58:51,0:58:58
21,0:59:15,0:59:20
21,0:59:22,0:59:26
21,0:59:30,0:59:34
21,0:59:53,1:00:04
21,1:01:19,1:01:26
21,1:04:40,1:04:43
21,1:04:58,1:05:06
21,1:05:30,1:05:34
21,1:06:06,1:06:10
21,1:07:29,1:07:33
22,1:09:45,1:10:24
22,1:10:37,1:10:53
22,1:11:30,1:11:48
22,1:11:55,1:11:59
22,1:12:19,1:12:26
22,1:12:27,1:12:31
22,1:12:35,1:12:41
22,1:12:45,1:12:55
22,1:12:57,1:13:18
22,1:13:36,1:13:58
22,1:14:03,1:14:13
22,1:14:18,1:14:23
22,1:14:40,1:15:08
22,1:15:14,1:15:19
22,1:15:21,1:15:49
22,1:15:52,1:15:55
22,1:16:03,1:16:08
22,1:16:11,1:16:21
22,1:16:29,1:16:49
22,1:17:00,1:17:20
22,1:17:28,1:17:49
22,1:17:56,1:18:02
22,1:18:11,1:18:19
22,1:18:43,1:18:48
22,1:19:08,1:19:15
22,1:19:20,1:19:37
22,1:19:42,1:20:02
22,1:20:17,1:20:26
22,1:20:33,1:20:43
22,1:20:55,1:21:02
22,1:21:10,1:21:15
22,1:21:19,1:21:24
22,1:21:39,1:21:45
22,1:21:52,1:22:06
22,1:22:14,1:22:24
22,1:22:28,1:22:37
22,1:22:40,1:22:44
22,1:22:46,1:23:07
22,1:23:36,1:23:40
22,1:23:53,1:24:00
22,1:24:12,1:24:17
22,1:24:19,1:24:24
22,1:24:44,1:24:52
22,1:25:04,1:25:11
22,1:25:12,1:25:19
22,1:25:25,1:25:43
22,1:25:46,1:25:52
22,1:26:07,1:26:15
22,1:26:21,1:26:29
22,1:26:31,1:26:38
22,1:26:41,1:27:03
22,1:27:06,1:27:10
22,1:27:20,1:27:29
22,1:27:46,1:28:06
22,1:28:15,1:28:31
23,0:01:29,0:01:35
23,0:01:43,0:01:49
23,0:01:05,0:02:05
23,0:02:05,0:02:15
23,0:02:16,0:02:24
23,0:02:25,0:02:37
23,0:02:38,0:02:43
23,0:02:51,0:02:56
23,0:03:16,0:03:20
23,0:03:41,0:03:49
23,0:05:14,0:05:40
23,0:05:54,0:06:01
23,0:06:15,0:06:35
23,0:06:36,0:06:42
23,0:06:55,0:07:09
23,0:08:40,0:08:43
23,0:08:52,0:08:58
23,0:08:59,0:09:04
23,0:09:14,0:09:22
23,0:09:23,0:09:47
23,0:09:54,0:10:12
23,0:10:14,0:10:21
23,0:11:46,0:11:52
23,0:11:58,0:12:38
23,0:12:42,0:13:03
23,0:13:07,0:13:14
23,0:13:18,0:13:25
23,0:14:08,0:14:23
23,0:15:58,0:16:32
23,0:17:17,0:17:24
23,0:17:41,0:17:50
23,0:18:15,0:18:42
24,0:22:19,0:22:24
24,0:22:36,0:22:53
24,0:23:27,0:23:38
24,0:23:44,0:23:57
24,0:24:36,0:24:55
24,0:26:19,0:27:10
24,0:27:55,0:28:47
24,0:28:49,0:31:34
24,0:31:48,0:32:00
24,0:32:52,0:33:04
24,0:33:14,0:33:35
24,0:34:08,0:34:25
24,0:34:50,0:35:03
24,0:35:20,0:35:26
24,0:35:35,0:35:53
24,0:36:48,0:37:10
24,0:38:05,0:39:39
24,0:40:05,0:40:19
