date,event,lobster_id
2009-10-06,molt,887
2009-10-07,molt,902
2009-10-07,molt,884
2009-10-08,molt,837
2009-10-10,molt,692
2009-10-10,molt,931
2009-10-11,molt,920
2009-10-11,molt,694
2009-10-11,molt,787
2009-10-16,death,888
2009-10-17,molt,641
2009-10-30,molt,641
2009-10-31,molt,649
2009-11-01,molt,654
2009-11-02,molt,894
2009-11-03,molt,1024
2009-11-04,molt,148
2009-11-06,molt,893
2009-11-06,molt,924
2009-11-09,molt,884
2009-11-09,molt,903
2009-11-10,molt,877
2009-11-10,molt,906
2009-11-13,molt,931
2009-11-13,molt,902
2009-11-13,molt,705
2009-11-21,molt,934
2009-11-21,molt,694
2009-11-22,molt,092
2009-12-03,molt,887
2009-12-03,molt,148
2009-12-03,molt,937
2009-12-05,molt,1024
2009-12-08,molt,883
2009-12-07,death,884
