elapsed_time,image,x_head,y_head,x_tail,y_tail
0:00:20,20,-0.040,0.342,-0.031,0.164
0:00:21,21,-0.124,0.404,-0.058,0.227
0:00:22,22,-0.262,0.338,-0.076,0.293
0:00:23,23,-0.342,0.307,-0.151,0.324
0:00:24,24,-0.378,0.369,-0.182,0.338
0:00:25,25,-0.311,0.462,-0.200,0.320
0:00:26,26,-0.262,0.511,-0.173,0.347
0:00:27,27,-0.209,0.493,-0.200,0.316
0:00:28,28,-0.236,0.489,-0.191,0.324
0:00:29,29,-0.316,0.453,-0.164,0.338
0:00:30,30,-0.329,0.476,-0.173,0.382
0:00:31,31,-0.444,0.302,-0.280,0.427
0:00:32,32,-0.667,0.200,-0.498,0.289
0:00:33,33,-0.764,0.093,-0.618,0.209
0:00:34,34,-0.769,-0.160,-0.711,0.013
0:00:35,35,-0.653,-0.444,-0.689,-0.249
0:00:36,36,-0.524,-0.587,-0.622,-0.427
0:00:37,37,-0.387,-0.671,-0.502,-0.533
0:00:38,38,-0.249,-0.711,-0.409,-0.613
0:00:39,39,-0.178,-0.760,-0.329,-0.627
0:00:40,40,-0.156,-0.782,-0.284,-0.658
0:00:41,41,-0.178,-0.791,-0.280,-0.640
0:00:42,42,-0.200,-0.804,-0.244,-0.622
0:00:43,43,-0.133,-0.809,-0.244,-0.658
0:00:44,44,-0.120,-0.809,-0.244,-0.658
0:00:45,45,-0.120,-0.809,-0.244,-0.658
0:00:46,46,-0.124,-0.813,-0.231,-0.653
0:00:47,47,-0.124,-0.813,-0.231,-0.653
0:00:48,48,-0.116,-0.804,-0.231,-0.653
0:00:49,49,-0.196,-0.769,-0.200,-0.587
0:00:50,50,-0.089,-0.769,-0.209,-0.613
0:00:51,51,0.102,-0.756,-0.089,-0.724
0:00:52,52,0.320,-0.698,0.124,-0.716
0:00:53,53,0.511,-0.480,0.360,-0.604
0:00:54,54,0.667,-0.360,0.520,-0.480
0:00:55,55,0.747,-0.080,0.667,-0.244
0:00:56,56,0.680,0.196,0.720,0.009
0:00:57,57,0.533,0.284,0.689,0.160
0:00:58,58,0.436,0.440,0.600,0.316
0:00:59,59,0.400,0.440,0.582,0.373
0:01:00,60,0.333,0.422,0.538,0.431
0:01:01,61,0.293,0.387,0.467,0.453
0:01:02,62,0.160,0.391,0.351,0.462
0:01:03,63,0.178,0.271,0.222,0.462
0:01:04,64,0.258,0.120,0.160,0.284
0:01:05,65,0.404,0.076,0.209,0.133
0:01:06,66,0.538,0.049,0.342,0.067
0:01:07,67,0.667,0.067,0.471,0.040
0:01:08,68,0.747,0.049,0.556,0.031
0:01:09,69,0.773,0.120,0.600,0.040
0:01:10,70,0.756,0.276,0.653,0.111
0:01:11,71,0.627,0.471,0.622,0.289
0:01:12,72,0.449,0.658,0.511,0.484
0:01:13,73,0.293,0.698,0.449,0.587
0:01:14,74,0.267,0.680,0.436,0.596
0:01:15,75,0.280,0.671,0.471,0.604
0:01:16,76,0.289,0.676,0.476,0.613
0:01:17,77,0.316,0.676,0.489,0.596
0:01:18,78,0.316,0.667,0.489,0.591
0:01:19,79,0.342,0.644,0.511,0.573
0:01:20,80,0.387,0.636,0.556,0.529
0:01:21,81,0.413,0.604,0.573,0.529
0:01:22,82,0.449,0.569,0.609,0.511
0:01:23,83,0.440,0.556,0.613,0.520
0:01:24,84,0.418,0.631,0.560,0.507
0:01:25,85,0.431,0.640,0.551,0.498
0:01:26,86,0.404,0.649,0.538,0.498
0:01:27,87,0.253,0.773,0.333,0.604
0:01:28,88,0.022,0.831,0.187,0.729
0:01:29,89,-0.191,0.778,0.000,0.711
0:01:30,90,-0.467,0.644,-0.271,0.689
0:01:31,91,-0.591,0.467,-0.427,0.573
0:01:32,92,-0.640,0.351,-0.520,0.502
0:01:33,93,-0.684,0.258,-0.573,0.387
