elapsed_time,image,x_head,y_head,x_tail,y_tail,compass,since_event
0:00:16,16,0.173,0.333,0.253,0.511,-150,16
0:00:17,17,0.204,0.262,0.209,0.471,-150,17
0:00:18,18,0.342,0.191,0.218,0.378,-150,18
0:00:19,19,0.449,0.218,0.244,0.302,-150,19
0:00:20,20,0.471,0.369,0.293,0.262,-150,20
0:00:21,21,0.591,0.409,0.404,0.316,-150,21
0:00:22,22,0.693,0.320,0.484,0.338,-150,22
0:00:23,23,0.778,0.227,0.582,0.276,-150,23
0:00:24,24,0.822,0.231,0.618,0.209,-150,24
0:00:25,25,0.938,0.173,0.742,0.129,-150,25
0:00:26,26,0.973,0.133,0.809,0.049,-150,26
0:00:27,27,0.813,0.187,0.747,0.018,-150,27
0:00:28,28,0.684,0.271,0.756,0.084,-150,28
0:00:29,29,0.564,0.289,0.738,0.164,-150,29
0:00:30,30,0.547,0.178,0.729,0.222,-150,30
0:00:31,31,0.609,0.036,0.649,0.200,-150,31
0:00:32,32,0.684,-0.004,0.644,0.164,-150,32
0:00:33,33,0.787,-0.013,0.662,0.098,-150,33
0:00:34,34,0.849,-0.031,0.671,0.053,-150,34
0:00:35,35,0.809,0.093,0.662,-0.004,-150,35
0:00:36,36,0.716,0.209,0.698,0.049,-150,36
0:00:37,37,0.613,0.324,0.689,0.164,-150,37
0:00:38,38,0.516,0.333,0.644,0.218,-150,38
0:00:39,39,0.502,0.342,0.631,0.227,-150,39
0:00:40,40,0.502,0.342,0.631,0.227,-150,40
0:00:41,41,0.520,0.338,0.640,0.227,150,1
0:00:42,42,0.524,0.347,0.644,0.218,150,2
0:00:43,43,0.524,0.347,0.644,0.218,150,3
0:00:44,44,0.524,0.347,0.644,0.218,150,4
0:00:45,45,0.551,0.342,0.653,0.209,150,5
0:00:46,46,0.613,0.382,0.653,0.213,150,6
0:00:47,47,0.564,0.431,0.636,0.276,150,7
0:00:48,48,0.520,0.462,0.591,0.298,150,8
0:00:49,49,0.444,0.458,0.591,0.333,150,9
0:00:50,50,0.440,0.449,0.578,0.329,150,10
0:00:51,51,0.462,0.444,0.573,0.316,150,11
0:00:52,52,0.444,0.444,0.578,0.320,150,12
0:00:53,53,0.444,0.444,0.578,0.320,150,13
0:00:54,54,0.444,0.444,0.578,0.320,150,14
0:00:55,55,0.453,0.449,0.578,0.320,150,15
0:00:56,56,0.533,0.498,0.547,0.324,150,16
0:00:57,57,0.560,0.547,0.516,0.373,150,17
0:00:58,58,0.524,0.578,0.516,0.396,150,18
0:00:59,59,0.427,0.667,0.467,0.458,150,19
0:01:00,60,0.302,0.760,0.387,0.564,150,20
0:01:01,61,0.098,0.760,0.289,0.640,150,21
0:01:02,62,-0.049,0.742,0.156,0.680,150,22
0:01:03,63,-0.213,0.644,0.009,0.702,150,23
0:01:04,64,-0.280,0.591,-0.080,0.658,150,24
0:01:05,65,-0.338,0.631,-0.107,0.636,150,25
0:01:06,66,-0.382,0.529,-0.200,0.644,150,26
0:01:07,67,-0.431,0.404,-0.258,0.520,150,27
0:01:08,68,-0.449,0.204,-0.373,0.400,150,28
0:01:09,69,-0.529,0.111,-0.431,0.289,150,29
0:01:10,70,-0.640,-0.031,-0.524,0.142,-150,1
0:01:11,71,-0.680,-0.173,-0.591,0.009,-150,2
0:01:12,72,-0.760,-0.289,-0.631,-0.142,-150,3
0:01:13,73,-0.738,-0.422,-0.653,-0.231,-150,4
